Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
HDSigDB_Mouse_2021	eVLMC Embryonic Vascular And Leptomeningeal Cell-Enriched Genes PMID30078729	126/3824	4.667828e-31	8.868873e-28	0	0	4.758591e+00	3.323374e+02	RPL4;IFITM1;SPARC;RPL32;HNRNPU;RPL8;RPS15;RPS14;GJA1;SNRPD2;TRIM28;RPS18;FTH1;MAGOH;SLC39A6;CPNE3;SRRM2;TMOD3;RPS5;RPL22;SOX11;PCOLCE;WBP11;EEF1A1;LARS2;KARS;COL4A1;NHP2;SRSF2;SRSF4;MALAT1;SRSF9;ANKRD11;CRABP1;CTR9;ATP5K;UQCRH;ANAPC11;HSP90B1;PRDX2;LDHA;HSPH1;BLOC1S1;MIER3;SERF1;TNRC18;ZC3H13;SNX6;XBP1;ZFHX3;HSPA5;INSR;RARRES2;IGF2;ARHGAP29;SNHG6;1110004F10RIK;DHCR24;CWC15;PA2G4;IGF2R;COL1A1;RPS26;SMU1;H19;LSM6;NASP;CDK4;GOLGB1;SFXN1;ACO1;RPS21;DOCK6;YWHAE;COX7B;HSP90AB1;RPLP1;RPLP0;DBI;MRPL33;TTC28;YWHAQ;SNRNP70;GLIPR2;MDK;RPLP2;COX8A;CCT3;EIF5A;CCT2;GPX1;D8ERTD738E;ANXA2;PARP1;RHOA;PLSCR3;TMEM33;DAD1;BIRC6;ALDOA;1110038B12RIK;SF3B2;RNASEK;LUZP1;CRMP1;CRIP2;PTN;GGA1;HECTD1;UBN2;RPS2;RPL18;MEST;POLR2J;CCT5;MDH1;RPL34-PS1;COX6C;PSMC5;SBK1;NAGK;GSTA4;DLC1;HNRNPA2B1;CTNNB1;VIM
HDSigDB_Mouse_2021	NP1a Neural Progenitor Cell-Enriched Genes PMID30078729	106/2749	1.204320e-30	1.144104e-27	0	0	5.084839e+00	3.503029e+02	RPL4;SPARC;RPL32;HNRNPU;RPL8;RPS15;RPS14;GJA1;SNRPD2;TRIM28;RPS18;FTH1;MAGOH;SLC39A6;SRRM2;TMOD3;RPS5;RPL22;SOX11;WBP11;EEF1A1;LARS2;KARS;SRSF2;SRSF4;MALAT1;SRSF9;ANKRD11;CTR9;ATP5K;UQCRH;ANAPC11;HSP90B1;PRDX2;LDHA;HSPH1;BLOC1S1;SERF1;TNRC18;ZC3H13;SNX6;XBP1;ZFHX3;HSPA5;INSR;IGF2;SNHG6;1110004F10RIK;CWC15;PA2G4;COL1A1;RPS26;SMU1;H19;LSM6;NASP;CDK4;SFXN1;RPS21;YWHAE;COX7B;HSP90AB1;RPLP1;RPLP0;DBI;MRPL33;TTC28;YWHAQ;SNRNP70;MDK;RPLP2;COX8A;CCT3;EIF5A;CCT2;GPX1;D8ERTD738E;PARP1;RHOA;TMEM33;DAD1;BIRC6;ALDOA;1110038B12RIK;SF3B2;CRMP1;CRIP2;PTN;GGA1;HECTD1;FIP1L1;UBN2;RPS2;RPL18;MEST;POLR2J;CCT5;MDH1;RPL34-PS1;COX6C;PSMC5;SBK1;SMOC1;HNRNPA2B1;CTNNB1;VIM
HDSigDB_Mouse_2021	PLC Pericyte Lineage Cell-Enriched Genes PMID30078729	128/4104	2.750206e-29	1.741797e-26	0	0	4.496501e+00	2.957047e+02	RPL4;IFITM1;SPARC;RPL32;PLXND1;HNRNPU;RPL8;RPS15;RPS14;GJA1;SNRPD2;TRIM28;RPS18;FTH1;MAGOH;SLC39A6;CPNE3;SRRM2;TMOD3;RPS5;RPL22;SOX11;PCOLCE;WBP11;DHDDS;EEF1A1;LARS2;COL4A1;NHP2;SRSF2;SRSF4;MALAT1;SRSF9;ANKRD11;CTR9;ATP5K;UQCRH;ANAPC11;HSP90B1;PRDX2;LDHA;HSPH1;BLOC1S1;SERF1;TNRC18;ZC3H13;SNX6;XBP1;ZFHX3;HSPA5;INSR;RARRES2;IGF2;ARHGAP29;SNHG6;1110004F10RIK;CWC15;PA2G4;IGF2R;COL1A1;RPS26;H19;LSM6;NASP;CDK4;GOLGB1;SNAI1;ESAM;ACO1;RPS21;DOCK6;YWHAE;COX7B;HSP90AB1;RPLP1;RPLP0;NRARP;DBI;MRPL33;TTC28;YWHAQ;SNRNP70;GLIPR2;MDK;RNPEP;RPLP2;LBR;COX8A;CCT3;EIF5A;CCT2;GPX1;D8ERTD738E;ANXA2;PARP1;RHOA;PLSCR3;TMEM33;DAD1;BLVRB;BIRC6;ALDOA;1110038B12RIK;SF3B2;RNASEK;LUZP1;CRMP1;CRIP2;PTN;GGA1;FIP1L1;UBN2;RPS2;RPL18;MEST;POLR2J;CCT5;CAR2;MDH1;RPL34-PS1;COX6C;PSMC5;SBK1;NAGK;DLC1;HNRNPA2B1;CTNNB1;VIM
HDSigDB_Mouse_2021	pnVLMC Post-Natal Vascular And Leptomeningeal Cell-Enriched Genes PMID30078729	119/3861	4.270069e-26	1.639054e-23	0	0	4.175077e+00	2.438896e+02	RPL4;IFITM1;SPARC;RPL32;HNRNPU;RPL8;RPS15;RPS14;CDH5;GJA1;SNRPD2;TRIM28;RPS18;FTH1;MAGOH;CPNE3;SRRM2;TMOD3;RPS5;RPL22;SOX11;PCOLCE;WBP11;EEF1A1;LARS2;KARS;COL4A1;SRSF2;SRSF4;MALAT1;ANKRD11;CTR9;ATP5K;UQCRH;ANAPC11;HSP90B1;PRDX2;LDHA;HSPH1;BLOC1S1;SERF1;TNRC18;SNX6;XBP1;ZFHX3;HSPA5;RARRES2;IGF2;ARHGAP29;SNHG6;1110004F10RIK;DHCR24;CWC15;PA2G4;IGF2R;COL1A1;RPS26;SMU1;LSM6;NASP;CDK4;GOLGB1;ACO1;INTS9;RPS21;DOCK6;YWHAE;COX7B;HSP90AB1;RPLP1;RPLP0;DBI;MRPL33;YWHAQ;SNRNP70;MDK;RPLP2;LBR;COX8A;CCT3;EIF5A;CCT2;PRMT7;GPX1;RFC4;D8ERTD738E;ANXA2;PARP1;TFIP11;RHOA;TMEM33;DAD1;BLVRB;BIRC6;ALDOA;SF3B2;RNASEK;MTIF2;PTN;RFNG;GGA1;SAMM50;HECTD1;FIP1L1;UBN2;RPS2;A930013F10RIK;RPL18;MEST;POLR2J;CCT5;MDH1;RPL34-PS1;COX6C;PSMC5;SMOC1;HNRNPA2B1;CTNNB1;VIM
HDSigDB_Mouse_2021	NP1b Neural Progenitor Cell-Enriched Genes PMID30078729	133/4741	4.313299e-26	1.639054e-23	0	0	4.049083e+00	2.364888e+02	RPL4;SPARC;RPL32;HNRNPU;RPL8;RPS15;RPS14;GJA1;SNRPD2;TRIM28;RPS18;TMEM88;FTH1;MAGOH;SLC39A6;CPNE3;SRRM2;TPRA1;TMOD3;RPS5;RPL22;SOX11;PCOLCE;WBP11;EEF1A1;LARS2;KARS;COL4A1;TIMELESS;SRSF2;SRSF4;MALAT1;SRSF9;ANKRD11;ATP5K;FBXO45;UQCRH;ANAPC11;HSP90B1;PRDX2;LDHA;HSPH1;BLOC1S1;SERF1;TNRC18;ZC3H13;SNX6;ZFHX3;HSPA5;IGF2;ARHGAP29;SLC16A10;SNHG6;1110004F10RIK;DHCR24;CWC15;PA2G4;IGF2R;COL1A1;RPS26;SMU1;LSM6;NASP;CDK4;GOLGB1;SFXN1;ACO1;INTS9;CNIH2;RPS21;YWHAE;COX7B;HSP90AB1;RPLP1;RPLP0;DBI;MRPL33;TTC28;YWHAQ;SNRNP70;MDK;RNPEP;RPLP2;LBR;COX8A;CCT3;EIF5A;CCT2;PRMT7;GPX1;RFC4;D8ERTD738E;ANXA2;PARP1;TFIP11;RHOA;TMEM33;DAD1;BIRC6;ALDOA;1110038B12RIK;SF3B2;RNASEK;LUZP1;CRMP1;CRIP2;MTIF2;PTN;RFNG;GGA1;SAMM50;HECTD1;FIP1L1;UBN2;RPS2;A930013F10RIK;RPL18;MEST;POLR2J;CCT5;CAR2;MDH1;RPL34-PS1;COX6C;PSMC5;SLC25A39;SBK1;NAGK;GSTA4;HNRNPA2B1;CTNNB1;VIM;OCIAD2
HDSigDB_Mouse_2021	Top Endothelial Cell-Expressed Genes In Humans And Mice PMID29892006	61/1077	6.900296e-25	2.185094e-22	0	0	6.251766e+00	3.478049e+02	RPL4;YWHAE;IFITM1;COX7B;SPARC;HSP90AB1;RPL32;RPLP1;RPLP0;HNRNPU;RPL8;RPS14;CDH5;GJA1;YWHAQ;RPS18;FTH1;RPLP2;CPNE3;LBR;CCT3;EGFL7;GPX1;ANXA2;RPL23;TMOD3;RPS5;RPL22;RHOA;EEF1A1;COL4A1;DAD1;NCL;SRSF2;MALAT1;BIRC6;ALDOA;LUZP1;CRIP2;PTN;UQCRH;HSP90B1;LDHA;HECTD1;ZC3H13;CCT5;CAR2;ZFHX3;MDH1;HSPA5;INSR;ARHGAP29;1110004F10RIK;COX6C;GOLGB1;DLC1;HNRNPA2B1;CTNNB1;ESAM;VIM;CYTB
HDSigDB_Mouse_2021	VLMC Vascular And Leptomeningeal Cell-Enriched Genes PMID30078729	85/2194	8.653547e-24	2.348820e-21	0	0	4.559975e+00	2.421532e+02	RPL4;DOCK6;YWHAE;COX7B;SPARC;HSP90AB1;RPL32;RPLP1;RPLP0;HNRNPU;DBI;RPL8;MRPL33;RPS15;RPS14;GJA1;SNRPD2;YWHAQ;RPS18;SNRNP70;MDK;FTH1;MAGOH;RPLP2;CPNE3;SRRM2;COX8A;CCT3;CCT2;GPX1;D8ERTD738E;ANXA2;TMOD3;RPS5;RPL22;PCOLCE;RHOA;EEF1A1;LARS2;COL4A1;DAD1;SRSF2;BLVRB;MALAT1;ALDOA;SF3B2;RNASEK;ANKRD11;ATP5K;CRIP2;PTN;UQCRH;HSP90B1;PRDX2;GGA1;LDHA;HECTD1;BLOC1S1;UBN2;RPL18;ZC3H13;MEST;CCT5;SNX6;XBP1;ZFHX3;MDH1;HSPA5;RARRES2;IGF2;ARHGAP29;1110004F10RIK;CWC15;RPL34-PS1;COX6C;COL1A1;RPS26;SMU1;PSMC5;GOLGB1;HNRNPA2B1;SNAI1;CTNNB1;VIM;RPS21
HDSigDB_Mouse_2021	NP2 Neural Progenitor Cell-Enriched Genes PMID30078729	128/4741	3.891918e-23	9.243304e-21	0	0	3.719170e+00	1.919112e+02	RPL4;SPARC;RPL32;HNRNPU;RPL8;RPS15;RPS14;GJA1;SNRPD2;TRIM28;RPS18;FTH1;MAGOH;SLC39A6;SRRM2;TMOD3;RPS5;RPL22;SOX11;WBP11;EEF1A1;LARS2;KARS;COL4A1;NHP2;SRSF2;SRSF4;MALAT1;SRSF9;ANKRD11;CRABP1;CTR9;ATP5K;FBXO45;UQCRH;ANAPC11;HSP90B1;PRDX2;LDHA;HSPH1;BLOC1S1;MIER3;SERF1;TNRC18;ZC3H13;SNX6;XBP1;ZFHX3;HSPA5;INSR;IGF2;ARHGAP29;SNHG6;1110004F10RIK;DHCR24;CWC15;PA2G4;IGF2R;COL1A1;RPS26;SMU1;H19;LSM6;NASP;CDK4;GOLGB1;SFXN1;ACO1;CNIH2;RPS21;YWHAE;COX7B;HSP90AB1;RPLP1;RPLP0;DBI;MRPL33;TTC28;YWHAQ;SNRNP70;MDK;RPLP2;COX8A;CCT3;EIF5A;CCT2;GPX1;D8ERTD738E;ANXA2;PARP1;RHOA;PLSCR3;TMEM33;DAD1;BIRC6;ALDOA;1110038B12RIK;NAPB;SF3B2;RNASEK;LUZP1;PDXP;CRMP1;CRIP2;MTIF2;PTN;RFNG;GGA1;SAMM50;HECTD1;FIP1L1;UBN2;RPS2;A930013F10RIK;RPL18;MEST;POLR2J;CCT5;MDH1;RPL34-PS1;COX6C;PSMC5;SLC25A39;SBK1;NAGK;HNRNPA2B1;CTNNB1;VIM
HDSigDB_Mouse_2021	OPC1cyc Oligodendrocyte Precursor Cell-Enriched Genes PMID30078729	97/3014	1.381224e-21	2.915917e-19	0	0	3.889256e+00	1.868061e+02	RPL4;SPARC;RPL32;HNRNPU;RPL8;RPS15;RPS14;SNRPD2;TRIM28;RPS18;FTH1;CPNE3;SRRM2;RPS5;RPL22;SOX11;EEF1A1;LARS2;NHP2;SRSF2;SRSF4;MALAT1;SRSF9;ANKRD11;CTR9;ATP5K;UQCRH;ANAPC11;HSP90B1;PRDX2;LDHA;HSPH1;BLOC1S1;SERF1;TNRC18;SNX6;HSPA5;INSR;IGF2;SNHG6;1110004F10RIK;DHCR24;CWC15;PA2G4;RPS26;SMU1;LSM6;NASP;CDK4;SFXN1;ACO1;RPS21;YWHAE;COX7B;HSP90AB1;RPLP1;RPLP0;NRARP;DBI;MRPL33;TTC28;YWHAQ;SNRNP70;MDK;RPLP2;LBR;COX8A;CCT3;EIF5A;CCT2;GPX1;RFC4;D8ERTD738E;PARP1;RHOA;TMEM33;DAD1;BIRC6;ALDOA;1110038B12RIK;SF3B2;RNASEK;PTN;HECTD1;FIP1L1;UBN2;RPS2;RPL18;POLR2J;CCT5;MDH1;RPL34-PS1;COX6C;PSMC5;SMOC1;HNRNPA2B1;CTNNB1
HDSigDB_Mouse_2021	OPC1a Oligodendrocyte Precursor Cell-Enriched Genes PMID30078729	109/3751	3.110227e-21	5.909431e-19	0	0	3.654238e+00	1.725516e+02	RPL4;SPARC;RPL32;HNRNPU;RPL8;RPS15;RPS14;GJA1;SNRPD2;TRIM28;RPS18;FTH1;MAGOH;SRRM2;RPS5;RPL22;SOX11;WBP11;EEF1A1;LARS2;KARS;SRSF2;SRSF4;MALAT1;SRSF9;ANKRD11;CTR9;ATP5K;FBXO45;UQCRH;ANAPC11;HSP90B1;PRDX2;LDHA;HSPH1;BLOC1S1;MIER3;SERF1;ZC3H13;SNX6;HSPA5;INSR;IGF2;SNHG6;1110004F10RIK;DHCR24;CWC15;PA2G4;RPS26;SMU1;LSM6;NASP;CDK4;GOLGB1;SFXN1;ACO1;RPS21;YWHAE;COX7B;HSP90AB1;RPLP1;RPLP0;DBI;MRPL33;TTC28;YWHAQ;SNRNP70;MDK;RPLP2;COX8A;CCT3;EIF5A;CCT2;GPX1;D8ERTD738E;ANXA2;PARP1;RHOA;PLSCR3;TMEM33;DAD1;BIRC6;ALDOA;1110038B12RIK;SF3B2;RNASEK;LUZP1;CRIP2;MTIF2;PTN;RFNG;GGA1;SAMM50;HECTD1;FIP1L1;UBN2;RPS2;A930013F10RIK;RPL18;POLR2J;CCT5;MDH1;RPL34-PS1;COX6C;PSMC5;NAGK;SMOC1;HNRNPA2B1;CTNNB1
