"subjects"	"cluster.id"
"1"	"subject1"	7
"2"	"subject2"	1
"3"	"subject3"	1
"4"	"subject4"	13
"5"	"subject5"	1
"6"	"subject6"	3
"7"	"subject7"	9
"8"	"subject8"	13
"9"	"subject9"	15
"10"	"subject10"	13
"11"	"subject11"	4
"12"	"subject12"	8
"13"	"subject13"	13
"14"	"subject14"	11
"15"	"subject15"	13
"16"	"subject16"	14
"17"	"subject17"	7
"18"	"subject18"	1
"19"	"subject19"	10
"20"	"subject20"	14
"21"	"subject21"	4
"22"	"subject22"	8
"23"	"subject23"	8
"24"	"subject24"	5
"25"	"subject25"	1
"26"	"subject26"	6
"27"	"subject27"	5
"28"	"subject28"	3
"29"	"subject29"	3
"30"	"subject30"	8
"31"	"subject31"	12
"32"	"subject32"	11
"33"	"subject33"	8
"34"	"subject34"	5
"35"	"subject35"	2
"36"	"subject36"	14
"37"	"subject37"	2
"38"	"subject38"	6
"39"	"subject39"	6
"40"	"subject40"	10
"41"	"subject41"	13
"42"	"subject42"	15
"43"	"subject43"	9
"44"	"subject44"	6
"45"	"subject45"	13
"46"	"subject46"	5
"47"	"subject47"	9
"48"	"subject48"	6
"49"	"subject49"	1
"50"	"subject50"	12
"51"	"subject51"	3
"52"	"subject52"	9
"53"	"subject53"	10
"54"	"subject54"	7
"55"	"subject55"	9
"56"	"subject56"	9
"57"	"subject57"	1
"58"	"subject58"	11
"59"	"subject59"	15
"60"	"subject60"	5
"61"	"subject61"	15
"62"	"subject62"	12
"63"	"subject63"	1
"64"	"subject64"	11
"65"	"subject65"	3
"66"	"subject66"	5
"67"	"subject67"	1
"68"	"subject68"	4
"69"	"subject69"	4
"70"	"subject70"	15
"71"	"subject71"	1
"72"	"subject72"	15
"73"	"subject73"	4
"74"	"subject74"	4
"75"	"subject75"	9
"76"	"subject76"	13
"77"	"subject77"	6
"78"	"subject78"	15
"79"	"subject79"	2
"80"	"subject80"	15
"81"	"subject81"	15
"82"	"subject82"	3
"83"	"subject83"	10
"84"	"subject84"	8
"85"	"subject85"	14
"86"	"subject86"	3
"87"	"subject87"	7
"88"	"subject88"	15
"89"	"subject89"	12
"90"	"subject90"	12
"91"	"subject91"	10
"92"	"subject92"	11
"93"	"subject93"	6
"94"	"subject94"	4
"95"	"subject95"	11
"96"	"subject96"	1
"97"	"subject97"	9
"98"	"subject98"	9
"99"	"subject99"	8
"100"	"subject100"	7
"101"	"subject101"	6
"102"	"subject102"	2
"103"	"subject103"	12
"104"	"subject104"	14
"105"	"subject105"	5
"106"	"subject106"	6
"107"	"subject107"	13
"108"	"subject108"	14
"109"	"subject109"	10
"110"	"subject110"	15
"111"	"subject111"	4
"112"	"subject112"	14
"113"	"subject113"	2
"114"	"subject114"	15
"115"	"subject115"	9
"116"	"subject116"	12
"117"	"subject117"	8
"118"	"subject118"	11
"119"	"subject119"	6
"120"	"subject120"	10
"121"	"subject121"	3
"122"	"subject122"	7
"123"	"subject123"	15
"124"	"subject124"	12
"125"	"subject125"	14
"126"	"subject126"	8
"127"	"subject127"	13
"128"	"subject128"	11
"129"	"subject129"	6
"130"	"subject130"	11
"131"	"subject131"	4
"132"	"subject132"	14
"133"	"subject133"	11
"134"	"subject134"	5
"135"	"subject135"	13
"136"	"subject136"	13
"137"	"subject137"	10
"138"	"subject138"	13
"139"	"subject139"	5
"140"	"subject140"	11
"141"	"subject141"	6
"142"	"subject142"	11
"143"	"subject143"	4
"144"	"subject144"	13
"145"	"subject145"	12
"146"	"subject146"	5
"147"	"subject147"	2
"148"	"subject148"	4
"149"	"subject149"	3
"150"	"subject150"	13
"151"	"subject151"	12
"152"	"subject152"	15
"153"	"subject153"	7
"154"	"subject154"	3
"155"	"subject155"	11
"156"	"subject156"	10
"157"	"subject157"	7
"158"	"subject158"	5
"159"	"subject159"	7
"160"	"subject160"	2
"161"	"subject161"	3
"162"	"subject162"	15
"163"	"subject163"	1
"164"	"subject164"	1
"165"	"subject165"	2
"166"	"subject166"	2
"167"	"subject167"	13
"168"	"subject168"	2
"169"	"subject169"	2
"170"	"subject170"	7
"171"	"subject171"	3
"172"	"subject172"	11
"173"	"subject173"	6
"174"	"subject174"	5
"175"	"subject175"	12
"176"	"subject176"	8
"177"	"subject177"	4
"178"	"subject178"	6
"179"	"subject179"	15
"180"	"subject180"	6
"181"	"subject181"	14
"182"	"subject182"	14
"183"	"subject183"	9
"184"	"subject184"	1
"185"	"subject185"	11
"186"	"subject186"	3
"187"	"subject187"	1
"188"	"subject188"	3
"189"	"subject189"	10
"190"	"subject190"	11
"191"	"subject191"	6
"192"	"subject192"	10
"193"	"subject193"	1
"194"	"subject194"	1
"195"	"subject195"	2
"196"	"subject196"	2
"197"	"subject197"	5
"198"	"subject198"	9
"199"	"subject199"	13
"200"	"subject200"	7
"201"	"subject201"	10
"202"	"subject202"	15
"203"	"subject203"	8
"204"	"subject204"	7
"205"	"subject205"	11
"206"	"subject206"	11
"207"	"subject207"	9
"208"	"subject208"	3
"209"	"subject209"	10
"210"	"subject210"	9
"211"	"subject211"	7
"212"	"subject212"	6
"213"	"subject213"	1
"214"	"subject214"	2
"215"	"subject215"	13
"216"	"subject216"	1
"217"	"subject217"	1
"218"	"subject218"	4
"219"	"subject219"	8
"220"	"subject220"	2
"221"	"subject221"	7
"222"	"subject222"	6
"223"	"subject223"	4
"224"	"subject224"	3
"225"	"subject225"	5
"226"	"subject226"	5
"227"	"subject227"	10
"228"	"subject228"	9
"229"	"subject229"	5
"230"	"subject230"	9
"231"	"subject231"	14
"232"	"subject232"	11
"233"	"subject233"	9
"234"	"subject234"	3
"235"	"subject235"	11
"236"	"subject236"	9
"237"	"subject237"	7
"238"	"subject238"	13
"239"	"subject239"	3
