Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
Mouse_Gene_Atlas	placenta	9.492868e-03	4.296136e-01	0	0	2.506405e+00	1.167287e+01	TEAD4;H19;CDH5;HSPA5;COL4A1;RARRES2;CTR9;ESAM;PVRL2;HSP90B1
Mouse_Gene_Atlas	umbilical cord	1.505718e-02	4.296136e-01	0	0	3.155120e+00	1.323857e+01	COL1A1;HBB-Y;H19;IGF2;MEST;IGF2R
Mouse_Gene_Atlas	B-cells GL7 negative KLH	1.552820e-02	4.296136e-01	0	0	3.132401e+00	1.304676e+01	SMU1;COX8A;CCT3;CPNE3;WBP11;CCDC94
Mouse_Gene_Atlas	B-cells GL7negative Alum	3.851276e-02	7.262709e-01	0	0	2.167668e+00	7.059587e+00	CCT3;COX8A;SF3B2;ANKRD11;WBP11;RHOA;CCDC94;UNG
Mouse_Gene_Atlas	lung	4.970772e-02	7.262709e-01	0	0	2.051773e+00	6.158592e+00	DOCK6;CDH5;EGFL7;DLC1;ESAM;PPM1F;RASIP1;APLN
Mouse_Gene_Atlas	bone	7.765852e-02	7.262709e-01	0	0	2.569434e+00	6.566018e+00	COL1A1;PRDX2;CAR2;LBR
Mouse_Gene_Atlas	NK cells	7.980424e-02	7.262709e-01	0	0	1.712238e+00	4.328843e+00	CCT3;HNRNPL;HECTD1;ANKRD11;CTR9;NRARP;CPNE3;BIRC6;ZC3H13;2810474O19RIK
Mouse_Gene_Atlas	mammary gland  lact	8.674477e-02	7.262709e-01	0	0	2.977380e+00	7.279054e+00	MALAT1;FAM108C;APLN
Mouse_Gene_Atlas	adrenal gland	9.033961e-02	7.262709e-01	0	0	2.162530e+00	5.199111e+00	SRRM2;ZFHX3;SMOC1;DLC1;MALAT1
Mouse_Gene_Atlas	embryonic stem line Bruce4 p13	9.353710e-02	7.262709e-01	0	0	1.497291e+00	3.547677e+00	PRMT7;ANXA2;PARP1;C130036L24RIK;2700094K13RIK;SMU1;LARS2;SALL1;TRIM28;NASP;KARS;MDK;NCL;NHP2;FAM192A
Mouse_Gene_Atlas	olfactory bulb	9.625277e-02	7.262709e-01	0	0	1.761861e+00	4.124125e+00	NAPB;SALL1;SNRNP70;RASL10B;TMOD3;CRMP1;SOX11;RFNG
Mouse_Gene_Atlas	osteoblast day21	1.136143e-01	7.447253e-01	0	0	1.863830e+00	4.053729e+00	COL1A1;H19;SPARC;MDK;IGF2;PCOLCE
Mouse_Gene_Atlas	osteoclasts	1.297224e-01	7.447253e-01	0	0	2.467723e+00	5.039976e+00	PLXND1;UBN2;2310035K24RIK
Mouse_Gene_Atlas	osteoblast day5	1.542667e-01	7.447253e-01	0	0	1.971239e+00	3.684388e+00	ANKRD27;GLIPR2;SNAI1;ARHGAP29
Mouse_Gene_Atlas	bone marrow	1.696333e-01	7.447253e-01	0	0	1.573801e+00	2.792105e+00	CAR2;PRDX2;RFC4;SPNB1;BLVRB;SLC16A10;LBR
Mouse_Gene_Atlas	T-cells CD8+	1.751877e-01	7.447253e-01	0	0	2.127286e+00	3.705514e+00	0610007P22RIK;RPS18;INSR
Mouse_Gene_Atlas	uterus	1.751877e-01	7.447253e-01	0	0	2.127286e+00	3.705514e+00	RARRES2;TNRC18;PDLIM4
Mouse_Gene_Atlas	bladder	1.862773e-01	7.447253e-01	0	0	1.821193e+00	3.060548e+00	ALDH3B2;UPK1A;GSTA4;NRARP
Mouse_Gene_Atlas	adipose brown	1.893139e-01	7.447253e-01	0	0	1.474652e+00	2.454335e+00	LARS2;SAMM50;TMEM88;DLC1;DBI;MTIF2;ECSIT;UQCRH
