Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
HDSigDB_Mouse_2021	eVLMC Embryonic Vascular And Leptomeningeal Cell-Enriched Genes PMID30078729	2.779462e-32	5.280978e-29	0	0	4.938799e+00	3.588554e+02	RPL4;IFITM1;SPARC;RPL32;HNRNPU;RPL8;RPS15;RPS14;GJA1;TRIM28;SNRPD2;RPS18;FTH1;MAGOH;SLC39A6;CPNE3;SRRM2;RPS5;TMOD3;RPL22;PCOLCE;SOX11;WBP11;EEF1A1;LARS2;KARS;COL4A1;SRSF2;NHP2;SRSF4;MALAT1;SRSF9;ANKRD11;CRABP1;CTR9;ATP5K;UQCRH;HSP90B1;ANAPC11;PRDX2;LDHA;HSPH1;BLOC1S1;MIER3;SERF1;TNRC18;ZC3H13;SNX6;XBP1;ZFHX3;HSPA5;RARRES2;INSR;IGF2;ARHGAP29;SNHG6;DHCR24;1110004F10RIK;PA2G4;CWC15;IGF2R;RPS26;COL1A1;SMU1;H19;LSM6;NASP;CDK4;GOLGB1;SFXN1;ACO1;RPS21;DOCK6;YWHAE;COX7B;HSP90AB1;RPLP1;RPLP0;DBI;MRPL33;TTC28;YWHAQ;MDK;SNRNP70;GLIPR2;RPLP2;EIF5A;CCT3;COX8A;CCT2;GPX1;D8ERTD738E;ANXA2;PARP1;RHOA;PLSCR3;TMEM33;DAD1;BIRC6;ALDOA;1110038B12RIK;SF3B2;RNASEK;LUZP1;CRMP1;CRIP2;PTN;GGA1;HECTD1;UBN2;RPS2;RPL18;MEST;POLR2J;CCT5;MDH1;COX6C;RPL34-PS1;PSMC5;SBK1;NAGK;GSTA4;DLC1;HNRNPA2B1;CTNNB1;VIM
HDSigDB_Mouse_2021	NP1a Neural Progenitor Cell-Enriched Genes PMID30078729	9.346231e-32	8.878919e-29	0	0	5.279162e+00	3.771843e+02	RPL4;SPARC;RPL32;HNRNPU;RPL8;RPS15;RPS14;GJA1;TRIM28;SNRPD2;RPS18;FTH1;MAGOH;SLC39A6;SRRM2;RPS5;TMOD3;RPL22;SOX11;WBP11;EEF1A1;LARS2;KARS;SRSF2;SRSF4;MALAT1;SRSF9;ANKRD11;CTR9;ATP5K;UQCRH;HSP90B1;ANAPC11;PRDX2;LDHA;HSPH1;BLOC1S1;SERF1;TNRC18;ZC3H13;SNX6;XBP1;ZFHX3;HSPA5;INSR;IGF2;SNHG6;1110004F10RIK;PA2G4;CWC15;RPS26;COL1A1;SMU1;H19;LSM6;NASP;CDK4;SFXN1;RPS21;YWHAE;COX7B;HSP90AB1;RPLP1;RPLP0;DBI;MRPL33;TTC28;YWHAQ;MDK;SNRNP70;RPLP2;EIF5A;CCT3;COX8A;CCT2;GPX1;D8ERTD738E;PARP1;RHOA;TMEM33;DAD1;BIRC6;ALDOA;1110038B12RIK;SF3B2;CRMP1;CRIP2;PTN;GGA1;HECTD1;FIP1L1;UBN2;RPS2;RPL18;MEST;POLR2J;CCT5;MDH1;COX6C;RPL34-PS1;PSMC5;SBK1;SMOC1;HNRNPA2B1;CTNNB1;VIM
HDSigDB_Mouse_2021	PLC Pericyte Lineage Cell-Enriched Genes PMID30078729	1.686992e-30	1.068428e-27	0	0	4.666956e+00	3.199413e+02	RPL4;IFITM1;SPARC;RPL32;PLXND1;HNRNPU;RPL8;RPS15;RPS14;GJA1;TRIM28;SNRPD2;RPS18;FTH1;MAGOH;SLC39A6;CPNE3;SRRM2;RPS5;TMOD3;RPL22;PCOLCE;SOX11;WBP11;DHDDS;EEF1A1;LARS2;COL4A1;SRSF2;NHP2;SRSF4;MALAT1;SRSF9;ANKRD11;CTR9;ATP5K;UQCRH;HSP90B1;ANAPC11;PRDX2;LDHA;HSPH1;BLOC1S1;SERF1;TNRC18;ZC3H13;SNX6;XBP1;ZFHX3;HSPA5;RARRES2;INSR;IGF2;ARHGAP29;SNHG6;1110004F10RIK;PA2G4;CWC15;IGF2R;RPS26;COL1A1;H19;LSM6;NASP;CDK4;GOLGB1;SNAI1;ESAM;ACO1;RPS21;DOCK6;YWHAE;COX7B;HSP90AB1;RPLP1;RPLP0;NRARP;DBI;MRPL33;TTC28;YWHAQ;MDK;SNRNP70;GLIPR2;RNPEP;RPLP2;LBR;EIF5A;CCT3;COX8A;CCT2;GPX1;D8ERTD738E;ANXA2;PARP1;RHOA;PLSCR3;TMEM33;DAD1;BLVRB;BIRC6;ALDOA;1110038B12RIK;SF3B2;RNASEK;LUZP1;CRMP1;CRIP2;PTN;GGA1;FIP1L1;UBN2;RPS2;RPL18;MEST;POLR2J;CCT5;CAR2;MDH1;COX6C;RPL34-PS1;PSMC5;SBK1;NAGK;DLC1;HNRNPA2B1;CTNNB1;VIM
HDSigDB_Mouse_2021	NP1b Neural Progenitor Cell-Enriched Genes PMID30078729	8.667331e-28	3.444202e-25	0	0	4.267315e+00	2.659084e+02	RPL4;SPARC;RPL32;HNRNPU;RPL8;RPS15;RPS14;GJA1;TRIM28;SNRPD2;RPS18;TMEM88;FTH1;MAGOH;SLC39A6;CPNE3;SRRM2;TPRA1;RPS5;TMOD3;RPL22;PCOLCE;SOX11;WBP11;EEF1A1;LARS2;KARS;COL4A1;SRSF2;TIMELESS;SRSF4;MALAT1;SRSF9;ANKRD11;ATP5K;FBXO45;UQCRH;HSP90B1;ANAPC11;PRDX2;LDHA;HSPH1;BLOC1S1;SERF1;TNRC18;ZC3H13;SNX6;ZFHX3;HSPA5;IGF2;ARHGAP29;SNHG6;DHCR24;1110004F10RIK;SLC16A10;PA2G4;CWC15;IGF2R;RPS26;COL1A1;SMU1;LSM6;NASP;CDK4;GOLGB1;SFXN1;ACO1;INTS9;CNIH2;RPS21;YWHAE;COX7B;HSP90AB1;RPLP1;RPLP0;DBI;MRPL33;TTC28;YWHAQ;MDK;SNRNP70;RNPEP;RPLP2;LBR;EIF5A;CCT3;COX8A;CCT2;GPX1;PRMT7;RFC4;D8ERTD738E;ANXA2;PARP1;TFIP11;RHOA;TMEM33;DAD1;BIRC6;ALDOA;1110038B12RIK;SF3B2;RNASEK;LUZP1;CRMP1;MTIF2;CRIP2;PTN;RFNG;GGA1;HECTD1;SAMM50;FIP1L1;UBN2;RPS2;RPL18;A930013F10RIK;MEST;POLR2J;CCT5;CAR2;MDH1;COX6C;RPL34-PS1;PSMC5;SBK1;SLC25A39;NAGK;GSTA4;HNRNPA2B1;CTNNB1;VIM;OCIAD2
HDSigDB_Mouse_2021	pnVLMC Post-Natal Vascular And Leptomeningeal Cell-Enriched Genes PMID30078729	9.063688e-28	3.444202e-25	0	0	4.408778e+00	2.745262e+02	RPL4;IFITM1;SPARC;RPL32;HNRNPU;RPL8;RPS15;RPS14;CDH5;GJA1;TRIM28;SNRPD2;RPS18;FTH1;MAGOH;CPNE3;SRRM2;RPS5;TMOD3;RPL22;PCOLCE;SOX11;WBP11;EEF1A1;LARS2;KARS;COL4A1;SRSF2;SRSF4;MALAT1;ANKRD11;CTR9;ATP5K;UQCRH;HSP90B1;ANAPC11;PRDX2;LDHA;HSPH1;BLOC1S1;SERF1;TNRC18;SNX6;XBP1;ZFHX3;HSPA5;RARRES2;IGF2;ARHGAP29;SNHG6;DHCR24;1110004F10RIK;PA2G4;CWC15;IGF2R;RPS26;COL1A1;SMU1;LSM6;NASP;CDK4;GOLGB1;ACO1;INTS9;RPS21;DOCK6;YWHAE;COX7B;HSP90AB1;RPLP1;RPLP0;DBI;MRPL33;YWHAQ;MDK;SNRNP70;RPLP2;LBR;EIF5A;CCT3;COX8A;CCT2;GPX1;PRMT7;RFC4;D8ERTD738E;ANXA2;PARP1;TFIP11;RHOA;TMEM33;DAD1;BLVRB;BIRC6;ALDOA;SF3B2;RNASEK;MTIF2;PTN;RFNG;GGA1;HECTD1;SAMM50;FIP1L1;UBN2;RPS2;RPL18;A930013F10RIK;MEST;POLR2J;CCT5;MDH1;COX6C;RPL34-PS1;PSMC5;SMOC1;HNRNPA2B1;CTNNB1;VIM
HDSigDB_Mouse_2021	Top Endothelial Cell-Expressed Genes In Humans And Mice PMID29892006	6.826830e-26	2.161829e-23	0	0	6.589328e+00	3.818275e+02	RPL4;YWHAE;COX7B;IFITM1;SPARC;HSP90AB1;RPL32;RPLP1;RPLP0;HNRNPU;RPL8;RPS14;CDH5;GJA1;YWHAQ;RPS18;FTH1;RPLP2;CPNE3;LBR;CCT3;EGFL7;GPX1;ANXA2;RPS5;RPL23;TMOD3;RPL22;RHOA;EEF1A1;DAD1;COL4A1;NCL;SRSF2;MALAT1;BIRC6;ALDOA;LUZP1;CRIP2;PTN;UQCRH;HSP90B1;LDHA;HECTD1;ZC3H13;CCT5;CAR2;ZFHX3;HSPA5;MDH1;INSR;ARHGAP29;1110004F10RIK;COX6C;GOLGB1;DLC1;HNRNPA2B1;CTNNB1;ESAM;CYTB;VIM
HDSigDB_Mouse_2021	NP2 Neural Progenitor Cell-Enriched Genes PMID30078729	8.772364e-25	2.381070e-22	0	0	3.926474e+00	2.174992e+02	RPL4;SPARC;RPL32;HNRNPU;RPL8;RPS15;RPS14;GJA1;TRIM28;SNRPD2;RPS18;FTH1;MAGOH;SLC39A6;SRRM2;RPS5;TMOD3;RPL22;SOX11;WBP11;EEF1A1;LARS2;KARS;COL4A1;SRSF2;NHP2;SRSF4;MALAT1;SRSF9;ANKRD11;CRABP1;CTR9;ATP5K;FBXO45;UQCRH;HSP90B1;ANAPC11;PRDX2;LDHA;HSPH1;BLOC1S1;MIER3;SERF1;TNRC18;ZC3H13;SNX6;XBP1;ZFHX3;HSPA5;INSR;IGF2;ARHGAP29;SNHG6;DHCR24;1110004F10RIK;PA2G4;CWC15;IGF2R;RPS26;COL1A1;SMU1;H19;LSM6;NASP;CDK4;GOLGB1;SFXN1;ACO1;CNIH2;RPS21;YWHAE;COX7B;HSP90AB1;RPLP1;RPLP0;DBI;MRPL33;TTC28;YWHAQ;MDK;SNRNP70;RPLP2;EIF5A;CCT3;COX8A;CCT2;GPX1;D8ERTD738E;ANXA2;PARP1;RHOA;PLSCR3;TMEM33;DAD1;BIRC6;ALDOA;1110038B12RIK;NAPB;SF3B2;RNASEK;LUZP1;PDXP;CRMP1;MTIF2;CRIP2;PTN;RFNG;GGA1;HECTD1;SAMM50;FIP1L1;UBN2;RPS2;RPL18;A930013F10RIK;MEST;POLR2J;CCT5;MDH1;COX6C;RPL34-PS1;PSMC5;SBK1;SLC25A39;NAGK;HNRNPA2B1;CTNNB1;VIM
HDSigDB_Mouse_2021	VLMC Vascular And Leptomeningeal Cell-Enriched Genes PMID30078729	1.759527e-24	4.178876e-22	0	0	4.696795e+00	2.569006e+02	RPL4;DOCK6;YWHAE;COX7B;SPARC;HSP90AB1;RPL32;RPLP1;RPLP0;HNRNPU;DBI;RPL8;MRPL33;RPS15;RPS14;GJA1;SNRPD2;YWHAQ;MDK;RPS18;SNRNP70;FTH1;MAGOH;RPLP2;CPNE3;SRRM2;CCT3;COX8A;CCT2;GPX1;D8ERTD738E;ANXA2;RPS5;TMOD3;RPL22;PCOLCE;RHOA;EEF1A1;LARS2;DAD1;COL4A1;SRSF2;BLVRB;MALAT1;ALDOA;SF3B2;RNASEK;ANKRD11;ATP5K;CRIP2;PTN;UQCRH;HSP90B1;PRDX2;GGA1;LDHA;HECTD1;BLOC1S1;UBN2;RPL18;ZC3H13;MEST;CCT5;SNX6;XBP1;ZFHX3;HSPA5;MDH1;RARRES2;IGF2;ARHGAP29;1110004F10RIK;CWC15;COX6C;RPL34-PS1;RPS26;COL1A1;SMU1;PSMC5;GOLGB1;HNRNPA2B1;SNAI1;CTNNB1;VIM;RPS21
HDSigDB_Mouse_2021	OPC1a Oligodendrocyte Precursor Cell-Enriched Genes PMID30078729	1.154506e-22	2.437290e-20	0	0	3.851645e+00	1.945589e+02	RPL4;SPARC;RPL32;HNRNPU;RPL8;RPS15;RPS14;GJA1;TRIM28;SNRPD2;RPS18;FTH1;MAGOH;SRRM2;RPS5;RPL22;SOX11;WBP11;EEF1A1;LARS2;KARS;SRSF2;SRSF4;MALAT1;SRSF9;ANKRD11;CTR9;ATP5K;FBXO45;UQCRH;HSP90B1;ANAPC11;PRDX2;LDHA;HSPH1;BLOC1S1;MIER3;SERF1;ZC3H13;SNX6;HSPA5;INSR;IGF2;SNHG6;DHCR24;1110004F10RIK;PA2G4;CWC15;RPS26;SMU1;LSM6;NASP;CDK4;GOLGB1;SFXN1;ACO1;RPS21;YWHAE;COX7B;HSP90AB1;RPLP1;RPLP0;DBI;MRPL33;TTC28;YWHAQ;MDK;SNRNP70;RPLP2;EIF5A;CCT3;COX8A;CCT2;GPX1;D8ERTD738E;ANXA2;PARP1;RHOA;PLSCR3;TMEM33;DAD1;BIRC6;ALDOA;1110038B12RIK;SF3B2;RNASEK;LUZP1;MTIF2;CRIP2;PTN;RFNG;GGA1;HECTD1;SAMM50;FIP1L1;UBN2;RPS2;RPL18;A930013F10RIK;POLR2J;CCT5;MDH1;COX6C;RPL34-PS1;PSMC5;NAGK;SMOC1;HNRNPA2B1;CTNNB1
HDSigDB_Mouse_2021	OPC1cyc Oligodendrocyte Precursor Cell-Enriched Genes PMID30078729	1.327992e-22	2.523185e-20	0	0	4.048757e+00	2.039489e+02	RPL4;SPARC;RPL32;HNRNPU;RPL8;RPS15;RPS14;TRIM28;SNRPD2;RPS18;FTH1;CPNE3;SRRM2;RPS5;RPL22;SOX11;EEF1A1;LARS2;SRSF2;NHP2;SRSF4;MALAT1;SRSF9;ANKRD11;CTR9;ATP5K;UQCRH;HSP90B1;ANAPC11;PRDX2;LDHA;HSPH1;BLOC1S1;SERF1;TNRC18;SNX6;HSPA5;INSR;IGF2;SNHG6;DHCR24;1110004F10RIK;PA2G4;CWC15;RPS26;SMU1;LSM6;NASP;CDK4;SFXN1;ACO1;RPS21;YWHAE;COX7B;HSP90AB1;RPLP1;RPLP0;NRARP;DBI;MRPL33;TTC28;YWHAQ;MDK;SNRNP70;RPLP2;LBR;EIF5A;CCT3;COX8A;CCT2;GPX1;RFC4;D8ERTD738E;PARP1;RHOA;TMEM33;DAD1;BIRC6;ALDOA;1110038B12RIK;SF3B2;RNASEK;PTN;HECTD1;FIP1L1;UBN2;RPS2;RPL18;POLR2J;CCT5;MDH1;COX6C;RPL34-PS1;PSMC5;SMOC1;HNRNPA2B1;CTNNB1
